,county_name,state_abbr,votes_total,votes_dem,votes_gop,combined_fips,per_dem,per_gop
0,Autauga County,AL,23909,6354.0,17366.0,1001,0.2657576644778117,0.7263373624994772
1,Baldwin County,AL,84988,18329.0,65772.0,1003,0.2156657410457947,0.7738974914105521
2,Barbour County,AL,11459,5873.0,5539.0,1005,0.5125229077580941,0.48337551269744305
3,Bibb County,AL,8391,2200.0,6131.0,1007,0.26218567512811347,0.7306638064593016
4,Blount County,AL,23980,2961.0,20741.0,1009,0.12347789824854045,0.864929107589658
5,Bullock County,AL,5318,4058.0,1250.0,1011,0.763068822865739,0.23505077096652877
6,Butler County,AL,9483,4367.0,5081.0,1013,0.4605082779711062,0.5358009068860066
7,Calhoun County,AL,46240,15500.0,30272.0,1015,0.3352076124567474,0.6546712802768166
8,Chambers County,AL,14562,6853.0,7596.0,1017,0.47060843290756765,0.5216316440049443
9,Cherokee County,AL,9761,2126.0,7494.0,1019,0.21780555270976334,0.767749206023973
10,Chilton County,AL,17434,3391.0,13910.0,1021,0.19450499024893886,0.7978662383847654
11,Choctaw County,AL,7965,3785.0,4150.0,1023,0.47520401757689895,0.5210295040803515
12,Clarke County,AL,13827,6317.0,7463.0,1025,0.456859767122297,0.5397410862804658
13,Clay County,AL,6640,1770.0,4802.0,1027,0.26656626506024095,0.7231927710843373
14,Cleburne County,AL,6302,971.0,5269.0,1029,0.15407807045382418,0.8360837829260552
15,Coffee County,AL,19715,4899.0,14638.0,1031,0.248490996703018,0.7424803449150393
16,Colbert County,AL,23374,9160.0,13931.0,1033,0.3918884230341405,0.5960041071275777
17,Conecuh County,AL,7013,3551.0,3434.0,1035,0.5063453586197063,0.4896620561813774
18,Coosa County,AL,5243,2188.0,3028.0,1037,0.4173183292008392,0.5775319473583826
19,Covington County,AL,15415,3155.0,12148.0,1039,0.20467077521894259,0.78806357444048
20,Crenshaw County,AL,6411,2048.0,4326.0,1041,0.3194509436905319,0.6747777257838091
21,Cullman County,AL,33178,4855.0,27930.0,1043,0.1463319066851528,0.8418228946892519
22,Dale County,AL,18551,5283.0,13105.0,1045,0.28478249150989166,0.7064309201660288
23,Dallas County,AL,20936,14599.0,6284.0,1047,0.6973156285823462,0.300152846771112
24,DeKalb County,AL,23842,5235.0,18316.0,1049,0.2195705058300478,0.7682241422699438
25,Elmore County,AL,35440,8940.0,26223.0,1051,0.25225733634311515,0.7399266365688487
26,Escambia County,AL,14832,5476.0,9263.0,1053,0.3692017259978425,0.6245280474649406
27,Etowah County,AL,42490,12792.0,29102.0,1055,0.30105907272299365,0.6849140974346906
28,Fayette County,AL,7912,1803.0,6034.0,1057,0.22788169868554095,0.762639029322548
29,Franklin County,AL,10859,3171.0,7567.0,1059,0.2920158393958928,0.6968413297725389
30,Geneva County,AL,11318,2039.0,9173.0,1061,0.1801555045060965,0.8104788831949108
31,Greene County,AL,5328,4514.0,799.0,1063,0.8472222222222222,0.14996246246246248
